,vac_name,salary_min,salary_max,currency,href,host
0,Python Developer,50000.0,80000.0,руб.,https://hh.ru/vacancy/67618826?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
1,Python Backend Developer (Senior/Remote),,300000.0,руб.,https://hh.ru/vacancy/67577937?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
2,"Backend developer (Python, PostgreSQL)",,350000.0,руб.,https://hh.ru/vacancy/67551709?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
3,Middle Python developer (blockchain),100000.0,150000.0,руб.,https://hh.ru/vacancy/67535960?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
4,Продавец роботов,300000.0,,KZT,https://hh.ru/vacancy/67094843?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
5,Middle / Senior QA инженер,200000.0,,руб.,https://hh.ru/vacancy/47759634?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
6,Middle / Senior QA инженер в команду Монетизации,200000.0,,руб.,https://hh.ru/vacancy/52599783?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
7,Middle / Senior QA в команду безопасности,200000.0,,руб.,https://hh.ru/vacancy/47892571?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
8,QA менеджер,150000.0,,руб.,https://hh.ru/vacancy/67162011?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
9,Senior PHP Developer / PHP программист,3000.0,5000.0,EUR,https://hh.ru/vacancy/66732884?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
10,Solution Architect,350000.0,,руб.,https://hh.ru/vacancy/67395566?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
11,Linux administrator/Support engineer 2L,150000.0,250000.0,руб.,https://hh.ru/vacancy/66222669?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
12,Python разработчик,80000.0,,руб.,https://hh.ru/vacancy/55581349?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
13,Teamlead Python,250000.0,350000.0,руб.,https://hh.ru/vacancy/67445112?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
14,Python-разработчик,200000.0,300000.0,руб.,https://hh.ru/vacancy/67062268?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
15,Python-разработчик,200000.0,300000.0,руб.,https://hh.ru/vacancy/67062269?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
16,Python-разработчик,200000.0,300000.0,руб.,https://hh.ru/vacancy/67062270?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
17,"Python developer (релокейт Рига, Латвия)",160000.0,,руб.,https://hh.ru/vacancy/66908529?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
18,"Python developer (релокейт Рига, Латвия)",160000.0,,руб.,https://hh.ru/vacancy/66908530?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
19,Python Django Developer (remote),240000.0,300000.0,руб.,https://hh.ru/vacancy/67326404?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
20,QA auto (Lead\Senior) Python,180000.0,300000.0,руб.,https://hh.ru/vacancy/67404167?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
21,Python-разработчик,80000.0,,руб.,https://hh.ru/vacancy/66503197?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
22,Python-разработчик,80000.0,,руб.,https://hh.ru/vacancy/66503196?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
23,Программист Python,50000.0,55000.0,руб.,https://hh.ru/vacancy/67168715?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
24,Python Developer,2000.0,,EUR,https://hh.ru/vacancy/67379106?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
25,Python разработчик,,200000.0,руб.,https://hh.ru/vacancy/67543555?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
26,Разработчик Python,160000.0,,руб.,https://hh.ru/vacancy/55123435?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
27,Python - разработчик,160000.0,,руб.,https://hh.ru/vacancy/67039471?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
28,Middle Python developer,150000.0,200000.0,руб.,https://hh.ru/vacancy/48586304?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
29,Программист Python,,200000.0,руб.,https://hh.ru/vacancy/66856604?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
30,Python разработчик,60000.0,120000.0,руб.,https://hh.ru/vacancy/67227329?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
31,Программист/Python-разработчик,50000.0,70000.0,руб.,https://hh.ru/vacancy/67551319?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
32,Python разработчик (программист) в г. Владивосток,60000.0,120000.0,руб.,https://hh.ru/vacancy/67388559?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
33,Middle / Senior Python/Go developer,80000.0,200000.0,руб.,https://hh.ru/vacancy/30548119?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
34,Middle Backend Developer (Python),120000.0,200000.0,руб.,https://hh.ru/vacancy/67430865?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
35,Junior Python разработчик,50000.0,60000.0,руб.,https://hh.ru/vacancy/67541105?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
36,Python / Django программист-разработчик,150000.0,250000.0,руб.,https://hh.ru/vacancy/67385904?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
37,Python разработчик / python developer,140000.0,200000.0,руб.,https://hh.ru/vacancy/66882112?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
38,Python-разработчик (backend),130000.0,250000.0,руб.,https://hh.ru/vacancy/67235429?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
39,Инженер - разработчик Python,120000.0,160000.0,руб.,https://hh.ru/vacancy/66852726?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
40,Python разработчик,90000.0,,руб.,https://hh.ru/vacancy/67623158?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
41,Python-разработчик,80000.0,120000.0,руб.,https://hh.ru/vacancy/67138293?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
42,Middle Python разработчик,180000.0,,руб.,https://hh.ru/vacancy/67144620?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
43,"Python Django разработчик, удаленно",150000.0,200000.0,руб.,https://hh.ru/vacancy/67545506?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
44,"Python Django разработчик, удаленно",150000.0,200000.0,руб.,https://hh.ru/vacancy/67545507?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
45,"Python Django разработчик, удаленно",150000.0,200000.0,руб.,https://hh.ru/vacancy/67545508?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
46,"Python Django разработчик, удаленно",150000.0,200000.0,руб.,https://hh.ru/vacancy/67545509?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
47,"Программист Python, Django",90000.0,,руб.,https://hh.ru/vacancy/67355833?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
48,Developer Python,130000.0,,руб.,https://hh.ru/vacancy/67411307?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
49,Python developer,80000.0,180000.0,руб.,https://hh.ru/vacancy/66520162?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
50,Middle/Middle+ Python Developer,1700.0,3500.0,USD,https://hh.ru/vacancy/66861075?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
51,Python разработчик,110000.0,,руб.,https://hh.ru/vacancy/67612745?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
52,Python-разработчик,140000.0,,руб.,https://hh.ru/vacancy/67503196?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
53,Разработчик Python,30000.0,80000.0,руб.,https://hh.ru/vacancy/47668037?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
54,Программист Python,50000.0,200000.0,руб.,https://hh.ru/vacancy/49488972?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
55,Python developer,80000.0,180000.0,руб.,https://hh.ru/vacancy/66520163?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
56,Python developer,80000.0,180000.0,руб.,https://hh.ru/vacancy/66520161?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
57,Python developer,80000.0,180000.0,руб.,https://hh.ru/vacancy/66520160?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
58,Python developer,80000.0,180000.0,руб.,https://hh.ru/vacancy/66520159?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
